Subject ID,Slice Index,sequence,Motion_Level,DISTS
brain_AXT1PRE_200_6002082,7,t1,g1,0.02888709306716919
brain_AXT1PRE_200_6002082,8,t1,g1,0.005070984363555908
brain_AXT1PRE_200_6002082,9,t1,g1,0.010958969593048096
brain_AXT1PRE_203_6000689,0,t1,g1,0.03136587142944336
brain_AXT1PRE_203_6000689,1,t1,g1,0.02713310718536377
brain_AXT1PRE_203_6000689,2,t1,g1,0.014733612537384033
brain_AXT1PRE_203_6000689,3,t1,g1,0.013867199420928955
brain_AXT1PRE_203_6000689,4,t1,g1,0.009540855884552002
brain_AXT1PRE_203_6000689,5,t1,g1,0.00821983814239502
brain_AXT1PRE_203_6000689,6,t1,g1,0.012230634689331055
brain_AXT1PRE_203_6000689,7,t1,g1,0.011284470558166504
brain_AXT1PRE_203_6000689,8,t1,g1,0.013595521450042725
brain_AXT1PRE_203_6000689,9,t1,g1,0.01689070463180542
brain_AXT1PRE_203_6000639,0,t1,g1,0.03578120470046997
brain_AXT1PRE_203_6000639,1,t1,g1,0.01983100175857544
brain_AXT1PRE_203_6000639,2,t1,g1,0.005864083766937256
brain_AXT1PRE_203_6000639,3,t1,g1,0.010265529155731201
brain_AXT1PRE_203_6000639,4,t1,g1,0.01494598388671875
brain_AXT1PRE_203_6000639,5,t1,g1,0.005944550037384033
brain_AXT1PRE_203_6000639,6,t1,g1,0.018250882625579834
brain_AXT1PRE_203_6000639,7,t1,g1,0.014194488525390625
brain_AXT1PRE_203_6000639,8,t1,g1,0.01777249574661255
brain_AXT1PRE_203_6000639,9,t1,g1,0.013869225978851318
brain_AXT1PRE_203_6000676,0,t1,g1,0.013612508773803711
brain_AXT1PRE_203_6000676,1,t1,g1,0.008749842643737793
brain_AXT1PRE_203_6000676,2,t1,g1,0.012814044952392578
